No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
764,,CCS,RNA,RNA
765,,PJT,WS,WS
766,,CNMD,ZIP,ZIP
767,,ARVN,BASE,BASE
768,,GNW,LC,LC
769,,LRN,PLYM,PLYM
770,,STRL,MMI,MMI
771,,FL,TGI,TGI
772,,QTWO,RLAY,RLAY
773,,NTLA,AMPL,AMPL
774,,RXO,SAVA,SAVA
775,,MWA,HPP,HPP
776,,GH,AXL,AXL
777,,PI,PRLB,PRLB
778,,PDCO,UNFI,UNFI
779,,NMIH,DAWN,DAWN
780,,SONO,MSEX,MSEX
781,,RELY,MEG,MEG
782,,CEIX,ALPN,ALPN
783,,PRFT,SHEN,SHEN
784,,PATK,PLRX,PLRX
785,,AI,OBK,OBK
786,,PRGS,HCSG,HCSG
787,,KRYS,PRAA,PRAA
788,,FLYW,ACMR,ACMR
789,,RAMP,MDXG,MDXG
790,,ACLX,MNKD,MNKD
791,,PRVA,CMTG,CMTG
792,,MTX,UDMY,UDMY
793,,CRNX,SXC,SXC
794,,JBLU,INVA,INVA
795,,BEAM,VSEC,VSEC
796,,PZZA,NABL,NABL
797,,FULT,EFC,EFC
798,,SKYW,ATEN,ATEN
799,,TWST,LMND,LMND
800,,ENV,THR,THR
801,,AROC,MCRI,MCRI
802,,AIR,SBSI,SBSI
803,,MGEE,FA,FA
804,,PFSI,QTRX,QTRX
805,,CVBF,EVRI,EVRI
806,,BLMN,JBSS,JBSS
807,,RDNT,LILAK,LILAK
808,,VCEL,SRCE,SRCE
809,,AUB,ACT,ACT
810,,CALM,DLX,DLX
811,,BOH,HIBB,HIBB
812,,CARG,BRSP,BRSP
813,,BE,AVNS,AVNS
814,,ARRY,MDRX,MDRX
815,,TBBK,EXPI,EXPI
816,,PPBI,ECVT,ECVT
817,,SHO,ERII,ERII
818,,NHI,CDE,CDE
819,,CTRE,OCFC,OCFC
820,,PARR,TARS,TARS
821,,SFNC,ASPN,ASPN
822,,IOVA,ARR,ARR
823,,TRN,ARCT,ARCT
824,,MLKN,BZH,BZH
825,,NUVL,ACCD,ACCD
826,,PD,TRNS,TRNS
827,,CPK,PGRE,PGRE
828,,STRA,BHLB,BHLB
829,,CBU,LBAI,LBAI
830,,JJSF,RCUS,RCUS
831,,HL,SPNT,SPNT
832,,ALG,CSR,CSR
833,,PLUS,SRRK,SRRK
834,,COUR,VIR,VIR
835,,XRX,HAIN,HAIN
836,,DNLI,PDM,PDM
837,,OSIS,UMH,UMH
838,,DORM,NAT,NAT
839,,GVA,RDFN,RDFN
840,,OII,MATW,MATW
841,,EBC,BFC,BFC
842,,ENR,BRKL,BRKL
843,,FCPT,CRGY,CRGY
844,,FIBK,EMBC,EMBC
845,,VIAV,BLBD,BLBD
846,,INDB,GRC,GRC
847,,PLAY,DCPH,DCPH
848,,CRVL,TTGT,TTGT
849,,INSW,FG,FG
850,,THS,PRM,PRM
851,,ARDX,SKWD,SKWD
852,,AMPH,SMP,SMP
853,,SBCF,LPRO,LPRO
854,,MODG,ARLO,ARLO
855,,FRME,FBMS,FBMS
856,,IRWD,ACHR,ACHR
857,,AMBA,SIBN,SIBN
858,,ABR,FDP,FDP
859,,ROG,ATSG,ATSG
860,,WGO,IESC,IESC
861,,CALX,VRDN,VRDN
862,,BANF,HOV,HOV
863,,SCL,CNOB,CNOB
864,,HNI,ASTE,ASTE
865,,VRNT,ANIP,ANIP
866,,PLAB,QNST,QNST
867,,FFBC,FIGS,FIGS
868,,IMVT,CABA,CABA
869,,UE,BJRI,BJRI
870,,GOLF,CNXN,CNXN
871,,PRIM,HOUS,HOUS
872,,PSMT,AUPH,AUPH
873,,HURN,CFFN,CFFN
874,,TOWN,AHH,AHH
875,,SLVM,SLCA,SLCA
876,,PRCT,DFH,DFH
877,,KMT,HY,HY
878,,UPST,GDYN,GDYN
879,,TGTX,SANA,SANA
880,,MIR,GPRE,GPRE
881,,GSHD,HLF,HLF
882,,DRH,PFC,PFC
883,,MBC,IAS,IAS
884,,EAT,EYPT,EYPT
885,,FSLY,SAH,SAH
886,,STEP,AMLX,AMLX
887,,OUT,TILE,TILE
888,,ATGE,PUMP,PUMP
889,,CORT,GDEN,GDEN
890,,SXI,AMRC,AMRC
891,,EPC,UTL,UTL
892,,CNS,BELFB,BELFB
893,,DK,MD,MD
894,,SJW,BBSI,BBSI
895,,WOR,EWTX,EWTX
896,,CENTA,CRAI,CRAI
897,,RCKT,CMP,CMP
898,,UCTT,AMBC,AMBC
899,,BKU,FMBH,FMBH
900,,MYGN,RWT,RWT
901,,NEO,GTN,GTN
902,,TNC,DDD,DDD
903,,BANC,RAPT,RAPT
904,,EQC,CHCT,CHCT
905,,RLJ,RGR,RGR
906,,PEB,NUS,NUS
907,,OPEN,TWI,TWI
908,,JOE,NBR,NBR
909,,SITM,MEI,MEI
910,,ROAD,RGNX,RGNX
911,,PLMR,DHC,DHC
912,,AVDX,MBIN,MBIN
913,,SNEX,ASIX,ASIX
914,,PTCT,BSIG,BSIG
915,,DAN,SPTN,SPTN
916,,VCYT,RPAY,RPAY
917,,UPBD,CCRN,CCRN
918,,ACVA,ZNTL,ZNTL
919,,TDS,APGE,APGE
920,,SIX,NVTS,NVTS
921,,ANDE,LFST,LFST
922,,HEES,LAZR,LAZR
923,,CNK,KELYA,KELYA
924,,STR,AMK,AMK
925,,ODP,VZIO,VZIO
926,,B,WWW,WWW
927,,ENVA,COGT,COGT
928,,BATRK,CTBI,CTBI
929,,JOBY,AHCO,AHCO
930,,TFIN,ETD,ETD
931,,IVT,ZEUS,ZEUS
932,,WSBC,SAVE,SAVE
933,,VECO,MYE,MYE
934,,IONQ,AMRX,AMRX
935,,AZZ,NXRT,NXRT
936,,NGVT,HA,HA
937,,TALO,HAYN,HAYN
938,,EPAC,ETWO,ETWO
939,,HLMN,BDN,BDN
940,,AGM,BGS,BGS
941,,VSTO,INN,INN
942,,RNST,DRQ,DRQ
943,,CLDX,RVLV,RVLV
944,,UPWK,EB,EB
945,,LZB,TMCI,TMCI
946,,CSGS,AORT,AORT
947,,VRTS,CCO,CCO
948,,LAUR,DIN,DIN
949,,IBTX,PUBM,PUBM
950,,JELD,EGBN,EGBN
951,,AGYS,CYRX,CYRX
952,,RXRX,MIRM,MIRM
953,,YOU,VERV,VERV
954,,CAKE,NYMT,NYMT
955,,JBGS,LQDA,LQDA
956,,PRO,DCO,DCO
957,,PACB,DCOM,DCOM
958,,XPRO,VVI,VVI
959,,WAFD,THRY,THRY
960,,CMPR,CRK,CRK
961,,LKFN,CLB,CLB
962,,VGR,MATV,MATV
963,,THRM,CASS,CASS
964,,CWK,NVRI,NVRI
965,,SQSP,GNK,GNK
966,,BRP,DX,DX
967,,LUMN,GES,GES
968,,OFG,REX,REX
969,,EYE,HZO,HZO
970,,ROIC,YEXT,YEXT
971,,GNL,IMXI,IMXI
972,,TROX,EDIT,EDIT
973,,CXW,IIIN,IIIN
974,,DFIN,MBWM,MBWM
975,,TTMI,SILK,SILK
976,,SDGR,CDRE,CDRE
977,,KAR,SWI,SWI
978,,ENVX,UVSP,UVSP
979,,TRMK,VREX,VREX
980,,PTGX,CFB,CFB
981,,CBRL,PCT,PCT
982,,AKR,EU,EU
983,,DVAX,HSTM,HSTM
984,,ARI,CRNC,CRNC
985,,OMI,IMAX,IMAX
986,,AMWD,SLP,SLP
987,,COHU,ARKO,ARKO
988,,ATRC,CNDT,CNDT
989,,STC,GOGO,GOGO
990,,ASAN,LASR,LASR
991,,NBTB,MODV,MODV
992,,WKC,OSBC,OSBC
993,,JACK,ARQT,ARQT
994,,SFL,HCI,HCI
995,,GEF,RDUS,RDUS
996,,VERA,VTOL,VTOL
997,,NTB,FNA,FNA
998,,CUBI,MTTR,MTTR
999,,APPN,PRA,PRA
1000,,PHR,AMTB,AMTB
1001,,EFSC,WTTR,WTTR
1002,,EXTR,FCEL,FCEL
1003,,NVEE,HDSN,HDSN
1004,,CODI,TVTX,TVTX
1005,,RC,OLO,OLO
1006,,SATS,BLFS,BLFS
1007,,NMRK,SPCE,SPCE
1008,,SNDX,ETNB,ETNB
1009,,MXL,IBRX,IBRX
1010,,NTCT,KNSA,KNSA
1011,,RXST,CBL,CBL
1012,,STAA,PTLO,PTLO
1013,,BANR,FCBC,FCBC
1014,,CNNE,GLDD,GLDD
1015,,HLIT,ZYME,ZYME
1016,,CHCO,HBNC,HBNC
1017,,GPOR,COCO,COCO
1018,,OXM,FUBO,FUBO
1019,,JAMF,RES,RES
1020,,AGIO,CECO,CECO
1021,,NSSC,WSR,WSR
1022,,HBI,CSTL,CSTL
1023,,DDS,SWBI,SWBI
1024,,XHR,GMRE,GMRE
1025,,SBH,NVRO,NVRO
1026,,NWBI,PTVE,PTVE
1027,,HLIO,EVLV,EVLV
1028,,GBX,FATE,FATE
1029,,KN,MSBI,MSBI
1030,,,PFBC,PFBC
1031,,,HSII,HSII
1032,,,KRUS,KRUS
1033,,,FOR,FOR
1034,,,KNTK,KNTK
1035,,,ACCO,ACCO
1036,,,CHUY,CHUY
1037,,,BIGC,BIGC
1038,,,BY,BY
1039,,,YMAB,YMAB
1040,,,HFWA,HFWA
1041,,,LTH,LTH
1042,,,HTLD,HTLD
1043,,,HCKT,HCKT
1044,,,IRON,IRON
1045,,,REVG,REVG
1046,,,CENX,CENX
1047,,,SNCY,SNCY
1048,,,PWP,PWP
1049,,,AGX,AGX
1050,,,GIC,GIC
1051,,,PLOW,PLOW
1052,,,FMNB,FMNB
1053,,,WRLD,WRLD
1054,,,NRDS,NRDS
1055,,,HCAT,HCAT
1056,,,USNA,USNA
1057,,,SBOW,SBOW
1058,,,CEVA,CEVA
1059,,,DMRC,DMRC
1060,,,EGLE,EGLE
1061,,,CRBU,CRBU
1062,,,CATC,CATC
1063,,,LWLG,LWLG
1064,,,STGW,STGW
1065,,,KREF,KREF
1066,,,SCVL,SCVL
1067,,,EQBK,EQBK
1068,,,ALHC,ALHC
1069,,,BFST,BFST
1070,,,EOLS,EOLS
1071,,,WASH,WASH
1072,,,TITN,TITN
1073,,,PKST,PKST
1074,,,VMEO,VMEO
1075,,,CLW,CLW
1076,,,SMRT,SMRT
1077,,,VTS,VTS
1078,,,HTBK,HTBK
1079,,,MED,MED
1080,,,OCUL,OCUL
1081,,,UFCS,UFCS
1082,,,UIS,UIS
1083,,,CLBK,CLBK
1084,,,UHT,UHT
1085,,,IDT,IDT
1086,,,NRC,NRC
1087,,,AMRK,AMRK
1088,,,LUNG,LUNG
1089,,,MITK,MITK
1090,,,CAC,CAC
1091,,,MLAB,MLAB
1092,,,CLNE,CLNE
1093,,,HVT,HVT
1094,,,ZIMV,ZIMV
1095,,,GSBC,GSBC
1096,,,AOSL,AOSL
1097,,,SMMT,SMMT
1098,,,CRSR,CRSR
1099,,,THFF,THFF
1100,,,TNGX,TNGX
1101,,,FLGT,FLGT
1102,,,EWCZ,EWCZ
1103,,,SOUN,SOUN
1104,,,CLDT,CLDT
1105,,,CYH,CYH
1106,,,GOOD,GOOD
1107,,,SBGI,SBGI
1108,,,PETQ,PETQ
1109,,,MLNK,MLNK
1110,,,ACEL,ACEL
1111,,,MPLN,MPLN
1112,,,TK,TK
1113,,,EBF,EBF
1114,,,BRY,BRY
1115,,,MTW,MTW
1116,,,ADTN,ADTN
1117,,,RICK,RICK
1118,,,OABI,OABI
1119,,,MRNS,MRNS
1120,,,FWRG,FWRG
1121,,,USLM,USLM
1122,,,FPI,FPI
1123,,,ATRO,ATRO
1124,,,AVO,AVO
1125,,,MCBS,MCBS
1126,,,TTI,TTI
1127,,,URGN,URGN
1128,,,SVV,SVV
1129,,,KE,KE
1130,,,ALX,ALX
1131,,,CVGW,CVGW
1132,,,OFIX,OFIX
1133,,,XPER,XPER
1134,,,IBCP,IBCP
1135,,,AEHR,AEHR
1136,,,DHIL,DHIL
1137,,,OSUR,OSUR
1138,,,CCNE,CCNE
1139,,,MCB,MCB
1140,,,SRI,SRI
1141,,,RBCAA,RBCAA
1142,,,AMAL,AMAL
1143,,,DH,DH
1144,,,RVNC,RVNC
1145,,,PBI,PBI
1146,,,BATRA,BATRA
1147,,,DXPE,DXPE
1148,,,TRST,TRST
1149,,,PGC,PGC
1150,,,STEM,STEM
1151,,,NR,NR
1152,,,CDMO,CDMO
1153,,,ATRI,ATRI
1154,,,CCB,CCB
1155,,,EHAB,EHAB
1156,,,ACRE,ACRE
1157,,,ATXS,ATXS
1158,,,ALT,ALT
1159,,,IIIV,IIIV
1160,,,HONE,HONE
1161,,,RUSHB,RUSHB
1162,,,EGY,EGY
1163,,,MLR,MLR
1164,,,NRIX,NRIX
1165,,,PSFE,PSFE
1166,,,DENN,DENN
1167,,,YORW,YORW
1168,,,BFS,BFS
1169,,,COMM,COMM
1170,,,ATEX,ATEX
1171,,,KIDS,KIDS
1172,,,VITL,VITL
1173,,,CWCO,CWCO
1174,,,ALLO,ALLO
1175,,,ALRS,ALRS
1176,,,UTI,UTI
1177,,,NKLA,NKLA
1178,,,PNTG,PNTG
1179,,,CVLG,CVLG
1180,,,INST,INST
1181,,,FC,FC
1182,,,ALXO,ALXO
1183,,,MOV,MOV
1184,,,VVX,VVX
1185,,,ADPT,ADPT
1186,,,NTGR,NTGR
1187,,,HTBI,HTBI
1188,,,CGEM,CGEM
1189,,,SVRA,SVRA
1190,,,MVIS,MVIS
1191,,,KALV,KALV
1192,,,RCEL,RCEL
1193,,,AMCX,AMCX
1194,,,SRDX,SRDX
1195,,,AMPS,AMPS
1196,,,CDNA,CDNA
1197,,,SMBC,SMBC
1198,,,KRNY,KRNY
1199,,,WEAV,WEAV
1200,,,TBPH,TBPH
1201,,,NFBK,NFBK
1202,,,ORIC,ORIC
1203,,,RGP,RGP
1204,,,LAND,LAND
1205,,,FARO,FARO
1206,,,LXU,LXU
1207,,,UVE,UVE
1208,,,BYND,BYND
1209,,,TTEC,TTEC
1210,,,CPF,CPF
1211,,,ANAB,ANAB
1212,,,MNTK,MNTK
1213,,,MRSN,MRSN
1214,,,DJCO,DJCO
1215,,,ORC,ORC
1216,,,VPG,VPG
1217,,,FFWM,FFWM
1218,,,FIP,FIP
1219,,,OSPN,OSPN
1220,,,AXGN,AXGN
1221,,,LMB,LMB
1222,,,MOFG,MOFG
1223,,,HAFC,HAFC
1224,,,XERS,XERS
1225,,,AVXL,AVXL
1226,,,MXCT,MXCT
1227,,,OPK,OPK
1228,,,CERS,CERS
1229,,,CENT,CENT
1230,,,DBI,DBI
1231,,,SHYF,SHYF
1232,,,STER,STER
1233,,,TWKS,TWKS
1234,,,TIPT,TIPT
1235,,,ALEC,ALEC
1236,,,CCBG,CCBG
1237,,,CTLP,CTLP
1238,,,FFIC,FFIC
1239,,,CLFD,CLFD
1240,,,NVAX,NVAX
1241,,,APLD,APLD
1242,,,ATNI,ATNI
1243,,,TBI,TBI
1244,,,AROW,AROW
1245,,,PL,PL
1246,,,TPC,TPC
1247,,,BHRB,BHRB
1248,,,NEXT,NEXT
1249,,,RMR,RMR
1250,,,ELVN,ELVN
1251,,,IVR,IVR
1252,,,SMBK,SMBK
1253,,,LYTS,LYTS
1254,,,NPK,NPK
1255,,,TREE,TREE
1256,,,SEMR,SEMR
1257,,,FRPH,FRPH
1258,,,TRTX,TRTX
1259,,,NVEC,NVEC
1260,,,OLMA,OLMA
1261,,,SHBI,SHBI
1262,,,CCSI,CCSI
1263,,,NAPA,NAPA
1264,,,SSP,SSP
1265,,,AVNW,AVNW
1266,,,OIS,OIS
1267,,,TPB,TPB
1268,,,SPWR,SPWR
1269,,,CRMT,CRMT
1270,,,LQDT,LQDT
1271,,,CTOS,CTOS
1272,,,HLVX,HLVX
1273,,,NBN,NBN
1274,,,KGS,KGS
1275,,,RSI,RSI
1276,,,GDOT,GDOT
1277,,,WULF,WULF
1278,,,ATMU,ATMU
1279,,,ALNT,ALNT
1280,,,BOC,BOC
1281,,,REPL,REPL
1282,,,CTO,CTO
1283,,,BWMN,BWMN
1284,,,BOOM,BOOM
1285,,,MAX,MAX
1286,,,GNE,GNE
1287,,,PX,PX
1288,,,MCFT,MCFT
1289,,,DOMO,DOMO
1290,,,RILY,RILY
1291,,,GCO,GCO
1292,,,SPFI,SPFI
1293,,,BV,BV
1294,,,AMSWA,AMSWA
1295,,,ANIK,ANIK
1296,,,AAN,AAN
1297,,,RBB,RBB
1298,,,CARE,CARE
1299,,,SMMF,SMMF
1300,,,ACNB,ACNB
1301,,,OSG,OSG
1302,,,TCMD,TCMD
1303,,,ESQ,ESQ
1304,,,MPB,MPB
1305,,,SHCR,SHCR
1306,,,AGS,AGS
1307,,,GCMG,GCMG
1308,,,ADV,ADV
1309,,,SFIX,SFIX
1310,,,TRUE,TRUE
1311,,,MCS,MCS
1312,,,OLP,OLP
1313,,,GCI,GCI
1314,,,ABUS,ABUS
1315,,,LOVE,LOVE
1316,,,APPS,APPS
1317,,,TAST,TAST
1318,,,BAND,BAND
1319,,,CSV,CSV
1320,,,BMEA,BMEA
1321,,,EVER,EVER
1322,,,DSKE,DSKE
1323,,,IRBT,IRBT
1324,,,GRND,GRND
1325,,,EGHT,EGHT
1326,,,LXRX,LXRX
1327,,,ENFN,ENFN
1328,,,WTBA,WTBA
1329,,,JRVR,JRVR
1330,,,PFIS,PFIS
1331,,,MBI,MBI
1332,,,LYEL,LYEL
1333,,,ORRF,ORRF
1334,,,ODC,ODC
1335,,,NKTX,NKTX
1336,,,FSBC,FSBC
1337,,,IRMD,IRMD
1338,,,CNSL,CNSL
1339,,,PLPC,PLPC
1340,,,FBIZ,FBIZ
1341,,,HROW,HROW
1342,,,LRMR,LRMR
1343,,,LIND,LIND
1344,,,CPS,CPS
1345,,,BALY,BALY
1346,,,BMRC,BMRC
1347,,,PLCE,PLCE
1348,,,TRC,TRC
1349,,,AVIR,AVIR
1350,,,FRBA,FRBA
1351,,,AMWL,AMWL
1352,,,GPRO,GPRO
1353,,,TERN,TERN
1354,,,LMNR,LMNR
1355,,,CZNC,CZNC
1356,,,ARTNA,ARTNA
1357,,,FISI,FISI
1358,,,PBPB,PBPB
1359,,,LBPH,LBPH
1360,,,PRME,PRME
1361,,,FRST,FRST
1362,,,TRDA,TRDA
1363,,,HBT,HBT
1364,,,DSGR,DSGR
1365,,,FMAO,FMAO
1366,,,AVD,AVD
1367,,,TSVT,TSVT
1368,,,SD,SD
1369,,,NRIM,NRIM
1370,,,RBBN,RBBN
1371,,,GLRE,GLRE
1372,,,RYAM,RYAM
1373,,,SFST,SFST
1374,,,AESI,AESI
1375,,,HIFS,HIFS
1376,,,HBCP,HBCP
1377,,,BSRR,BSRR
1378,,,ONEW,ONEW
1379,,,NEWT,NEWT
1380,,,MCBC,MCBC
1381,,,ULCC,ULCC
1382,,,FLIC,FLIC
1383,,,ZUMZ,ZUMZ
1384,,,HRTX,HRTX
1385,,,WTI,WTI
1386,,,WEST,WEST
1387,,,DCGO,DCGO
1388,,,EBTC,EBTC
1389,,,PANL,PANL
1390,,,DAKT,DAKT
1391,,,ONL,ONL
1392,,,TH,TH
1393,,,OMER,OMER
1394,,,GNTY,GNTY
1395,,,MVBF,MVBF
1396,,,BBW,BBW
1397,,,SPOK,SPOK
1398,,,BWB,BWB
1399,,,CHRS,CHRS
1400,,,ENTA,ENTA
1401,,,ARIS,ARIS
1402,,,PAHC,PAHC
1403,,,WSBF,WSBF
1404,,,EAF,EAF
1405,,,CIVB,CIVB
1406,,,FNLC,FNLC
1407,,,HUMA,HUMA
1408,,,STRO,STRO
1409,,,EVGO,EVGO
1410,,,IHRT,IHRT
1411,,,SLDP,SLDP
1412,,,VMD,VMD
1413,,,HLLY,HLLY
1414,,,HOFT,HOFT
1415,,,WALD,WALD
1416,,,ASTS,ASTS
1417,,,MLYS,MLYS
1418,,,ALTG,ALTG
1419,,,NWPX,NWPX
1420,,,KIND,KIND
1421,,,PKE,PKE
1422,,,FNKO,FNKO
1423,,,WLDN,WLDN
1424,,,ONTF,ONTF
1425,,,BCML,BCML
1426,,,ORGO,ORGO
1427,,,ITOS,ITOS
1428,,,TCBX,TCBX
1429,,,SLQT,SLQT
1430,,,ARAY,ARAY
1431,,,XPOF,XPOF
1432,,,GPMT,GPMT
1433,,,INZY,INZY
1434,,,REFI,REFI
1435,,,SKIN,SKIN
1436,,,CELC,CELC
1437,,,RRBI,RRBI
1438,,,HMST,HMST
1439,,,TNYA,TNYA
1440,,,OPRX,OPRX
1441,,,CRCT,CRCT
1442,,,VNDA,VNDA
1443,,,FLWS,FLWS
1444,,,TYRA,TYRA
1445,,,JAKK,JAKK
1446,,,NUVB,NUVB
1447,,,LOCO,LOCO
1448,,,CVRX,CVRX
1449,,,NMRA,NMRA
1450,,,SNBR,SNBR
1451,,,AGEN,AGEN
1452,,,SENEA,SENEA
1453,,,PLL,PLL
1454,,,SMHI,SMHI
1455,,,PSTL,PSTL
1456,,,CDLX,CDLX
1457,,,ACIC,ACIC
1458,,,EE,EE
1459,,,FORR,FORR
1460,,,PSTX,PSTX
1461,,,BLFY,BLFY
1462,,,INGN,INGN
1463,,,CLMB,CLMB
1464,,,LSEA,LSEA
1465,,,WW,WW
1466,,,OBT,OBT
1467,,,FDBC,FDBC
1468,,,DGICA,DGICA
1469,,,AVTE,AVTE
1470,,,CBAN,CBAN
1471,,,ASLE,ASLE
1472,,,LUNA,LUNA
1473,,,SLRN,SLRN
1474,,,JOUT,JOUT
1475,,,ME,ME
1476,,,VYGR,VYGR
1477,,,OFLX,OFLX
1478,,,EVC,EVC
1479,,,IPI,IPI
1480,,,LILA,LILA
1481,,,SMLR,SMLR
1482,,,FSBW,FSBW
1483,,,SIGA,SIGA
1484,,,ZVRA,ZVRA
1485,,,GCBC,GCBC
1486,,,EVCM,EVCM
1487,,,OOMA,OOMA
1488,,,ANGO,ANGO
1489,,,SOI,SOI
1490,,,AURA,AURA
1491,,,JMSB,JMSB
1492,,,FRGE,FRGE
1493,,,AGTI,AGTI
1494,,,ANNX,ANNX
1495,,,CBNK,CBNK
1496,,,NATR,NATR
1497,,,UNTY,UNTY
1498,,,GEVO,GEVO
1499,,,HYLN,HYLN
1500,,,TSBK,TSBK
1501,,,ASUR,ASUR
1502,,,INOD,INOD
1503,,,CVLY,CVLY
1504,,,TCX,TCX
1505,,,BOWL,BOWL
1506,,,CDXS,CDXS
1507,,,POWW,POWW
1508,,,CVGI,CVGI
1509,,,DXLG,DXLG
1510,,,PHAT,PHAT
1511,,,LEGH,LEGH
1512,,,ULH,ULH
1513,,,WVE,WVE
1514,,,NN,NN
1515,,,LINC,LINC
1516,,,AMPY,AMPY
1517,,,RCKY,RCKY
1518,,,LXFR,LXFR
1519,,,LPSN,LPSN
1520,,,NXDT,NXDT
1521,,,BCBP,BCBP
1522,,,KRO,KRO
1523,,,PACK,PACK
1524,,,VLGEA,VLGEA
1525,,,NECB,NECB
1526,,,ZYXI,ZYXI
1527,,,NKSH,NKSH
1528,,,PKBK,PKBK
1529,,,PKOH,PKOH
1530,,,UTMD,UTMD
1531,,,BRT,BRT
1532,,,IMMR,IMMR
1533,,,PINE,PINE
1534,,,ALCO,ALCO
1535,,,OVID,OVID
1536,,,NWFL,NWFL
1537,,,PGEN,PGEN
1538,,,NRDY,NRDY
1539,,,CIO,CIO
1540,,,HEAR,HEAR
1541,,,TTSH,TTSH
1542,,,FVCB,FVCB
1543,,,PCB,PCB
1544,,,RIGL,RIGL
1545,,,ITI,ITI
1546,,,MGTX,MGTX
1547,,,KODK,KODK
1548,,,RMAX,RMAX
1549,,,PLBC,PLBC
1550,,,BBCP,BBCP
1551,,,CZFS,CZFS
1552,,,EHTH,EHTH
1553,,,FF,FF
1554,,,ITIC,ITIC
1555,,,INSE,INSE
1556,,,BLDE,BLDE
1557,,,THRD,THRD
1558,,,RM,RM
1559,,,MYPS,MYPS
1560,,,AFCG,AFCG
1561,,,MBCN,MBCN
1562,,,BWFG,BWFG
1563,,,VRA,VRA
1564,,,ACDC,ACDC
1565,,,OCN,OCN
1566,,,COFS,COFS
1567,,,MVST,MVST
1568,,,FGEN,FGEN
1569,,,OPI,OPI
1570,,,RDVT,RDVT
1571,,,LAW,LAW
1572,,,PCYO,PCYO
1573,,,CMTL,CMTL
1574,,,IGMS,IGMS
1575,,,TSE,TSE
1576,,,BLNK,BLNK
1577,,,HBIO,HBIO
1578,,,PFMT,PFMT
1579,,,GRTS,GRTS
1580,,,GBTG,GBTG
1581,,,CFFI,CFFI
1582,,,BKSY,BKSY
1583,,,WOW,WOW
1584,,,GRNT,GRNT
1585,,,HPK,HPK
1586,,,SES,SES
1587,,,SSTI,SSTI
1588,,,SKYT,SKYT
1589,,,FET,FET
1590,,,NRGV,NRGV
1591,,,SPRY,SPRY
1592,,,DOUG,DOUG
1593,,,ATLO,ATLO
1594,,,HRT,HRT
1595,,,WEYS,WEYS
1596,,,OM,OM
1597,,,SSBK,SSBK
1598,,,RRGB,RRGB
1599,,,PDLB,PDLB
1600,,,QSI,QSI
1601,,,LVWR,LVWR
1602,,,KOD,KOD
1603,,,CRMD,CRMD
1604,,,OVLY,OVLY
1605,,,CIFR,CIFR
1606,,,CHMG,CHMG
1607,,,QUAD,QUAD
1608,,,OB,OB
1609,,,RMNI,RMNI
1610,,,DM,DM
1611,,,ATLC,ATLC
1612,,,GLUE,GLUE
1613,,,ALDX,ALDX
1614,,,STHO,STHO
1615,,,WISH,WISH
1616,,,ISPR,ISPR
1617,,,BFLY,BFLY
1618,,,MASS,MASS
1619,,,CLAR,CLAR
1620,,,BHR,BHR
1621,,,CLPT,CLPT
1622,,,HNRG,HNRG
1623,,,JANX,JANX
1624,,,MG,MG
1625,,,KRT,KRT
1626,,,FLL,FLL
1627,,,NATH,NATH
1628,,,BPRN,BPRN
1629,,,ATOM,ATOM
1630,,,SCPH,SCPH
1631,,,III,III
1632,,,BRCC,BRCC
1633,,,TLYS,TLYS
1634,,,CMPX,CMPX
1635,,,VABK,VABK
1636,,,SMTI,SMTI
1637,,,TDUP,TDUP
1638,,,ESSA,ESSA
1639,,,GNLX,GNLX
1640,,,PEPG,PEPG
1641,,,LCNB,LCNB
1642,,,SGMO,SGMO
1643,,,SAMG,SAMG
1644,,,MACK,MACK
1645,,,SNPO,SNPO
1646,,,PDSB,PDSB
1647,,,PRTS,PRTS
1648,,,BARK,BARK
1649,,,JYNT,JYNT
1650,,,SMR,SMR
1651,,,MHLD,MHLD
1652,,,NAUT,NAUT
1653,,,VEL,VEL
1654,,,SEAT,SEAT
1655,,,XOMA,XOMA
1656,,,SPWH,SPWH
1657,,,PLSE,PLSE
1658,,,PWOD,PWOD
1659,,,IBEX,IBEX
1660,,,ERAS,ERAS
1661,,,STOK,STOK
1662,,,LE,LE
1663,,,HFFG,HFFG
1664,,,GWRS,GWRS
1665,,,ACTG,ACTG
1666,,,KPTI,KPTI
1667,,,RNGR,RNGR
1668,,,NGVC,NGVC
1669,,,IMRX,IMRX
1670,,,ESCA,ESCA
1671,,,RGCO,RGCO
1672,,,NC,NC
1673,,,BGFV,BGFV
1674,,,MEC,MEC
1675,,,TPIC,TPIC
1676,,,FHTX,FHTX
1677,,,WLFC,WLFC
1678,,,STRS,STRS
1679,,,MYFW,MYFW
1680,,,AOMR,AOMR
1681,,,RSVR,RSVR
1682,,,GRWG,GRWG
1683,,,NREF,NREF
1684,,,TG,TG
1685,,,PTSI,PTSI
1686,,,TGAN,TGAN
1687,,,MLP,MLP
1688,,,KLTR,KLTR
1689,,,RXT,RXT
1690,,,DSP,DSP
1691,,,PETS,PETS
1692,,,CATO,CATO
1693,,,BIG,BIG
1694,,,EGAN,EGAN
1695,,,AKYA,AKYA
1696,,,TSQ,TSQ
1697,,,USCB,USCB
1698,,,AVAH,AVAH
1699,,,HIPO,HIPO
