No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
167,HLT,HLT,BKH,BKH
168,AFL,AFL,KTB,KTB
169,VLO,VLO,ESGR,ESGR
170,CARR,CARR,CSWI,CSWI
171,GM,GM,ACIW,ACIW
172,TFC,TFC,PBH,PBH
173,CPRT,CPRT,NPO,NPO
174,COF,COF,EVH,EVH
175,NUE,NUE,ALE,ALE
176,SPG,PSA,TPH,TPH
177,PSA,DLR,SANM,SANM
178,DLR,KMB,AMKR,AMKR
179,KMB,MSCI,GT,GT
180,MSCI,TRV,MC,MC
181,TRV,EW,ARWR,ARWR
182,EW,F,ARCB,ARCB
183,F,TEL,BL,BL
184,TEL,AEP,SFBS,SFBS
185,AEP,MNST,LBRT,LBRT
186,MNST,OKE,OGS,OGS
187,CHTR,CNC,ALRM,ALRM
188,OKE,MET,VC,VC
189,CNC,ADM,AXNX,AXNX
190,MET,IDXX,HI,HI
191,ADM,DHI,PIPR,PIPR
192,IDXX,PAYX,MHO,MHO
193,DHI,IQV,NSP,NSP
194,PAYX,OXY,FRSH,FRSH
195,IQV,STZ,BHVN,BHVN
196,OXY,HES,DY,DY
197,STZ,EXC,STNG,STNG
198,HES,O,CCOI,CCOI
199,D,CEG,REZI,REZI
200,EXC,A,CBZ,CBZ
201,O,BK,DBRG,DBRG
202,CEG,GIS,AXSM,AXSM
203,A,LHX,JBT,JBT
204,BK,SYY,ITGR,ITGR
205,GIS,DOW,ADNT,ADNT
206,LHX,JCI,AVAV,AVAV
207,SYY,AMP,MDGL,MDGL
208,DOW,PCG,SMPL,SMPL
209,JCI,ODFL,SHOO,SHOO
210,AMP,AME,PGNY,PGNY
211,PCG,ALL,FORM,FORM
212,ODFL,CTSH,CVCO,CVCO
213,AME,GWW,SBRA,SBRA
214,ALL,OTIS,TDW,TDW
215,CTSH,KVUE,SWTX,SWTX
216,GWW,YUM,CRS,CRS
217,OTIS,PRU,KFY,KFY
218,KVUE,FIS,ABCB,ABCB
219,YUM,VRSK,NARI,NARI
220,PRU,IT,PNM,PNM
221,FIS,FAST,BLKB,BLKB
222,VRSK,CSGP,BRZE,BRZE
223,IT,KMI,RIOT,RIOT
224,FAST,URI,ZD,ZD
225,CSGP,FTNT,VRRM,VRRM
226,KMI,COR,CNO,CNO
227,URI,EA,IOSP,IOSP
228,FTNT,HAL,SR,SR
229,COR,PPG,MGRC,MGRC
230,EA,XEL,MQ,MQ
231,BIIB,RSG,DIOD,DIOD
232,HAL,DD,CNX,CNX
233,PPG,LEN,SPT,SPT
234,XEL,CTVA,WD,WD
235,RSG,KDP,NWE,NWE
236,DD,ROK,AX,AX
237,LEN,CMI,ASB,ASB
238,CTVA,ON,PSN,PSN
239,KDP,PEG,VKTX,VKTX
240,ROK,ED,IDCC,IDCC
241,CMI,GPN,ACAD,ACAD
242,ON,VICI,LCII,LCII
243,PEG,EL,HCC,HCC
244,ED,ACGL,UCBI,UCBI
245,GPN,DG,BNL,BNL
246,VICI,IR,CERE,CERE
247,EL,KR,ARCH,ARCH
248,ACGL,DVN,WHD,WHD
249,DG,MLM,NOG,NOG
250,IR,VMC,TGNA,TGNA
251,KR,HSY,AMN,AMN
252,DVN,CDW,HELE,HELE
253,MLM,EXR,YELP,YELP
254,VMC,KHC,RUSHA,RUSHA
255,HSY,FICO,AIN,AIN
256,CDW,PWR,SLG,SLG
257,EXR,FANG,FOXF,FOXF
258,KHC,CAH,OSCR,OSCR
259,FICO,EFX,HUBG,HUBG
260,PWR,GEHC,DOOR,DOOR
261,FANG,SBAC,GFF,GFF
262,CAH,WEC,VSH,VSH
263,EFX,MPWR,ICFI,ICFI
264,GEHC,MRNA,IGT,IGT
265,SBAC,DLTR,TCBI,TCBI
266,WEC,RCL,RRR,RRR
267,MPWR,WST,IBOC,IBOC
268,MRNA,EIX,TMDX,TMDX
269,DLTR,AWK,BTU,BTU
270,RCL,WTW,MTRN,MTRN
271,WST,ANSS,SKT,SKT
272,EIX,HPQ,SHLS,SHLS
273,AWK,XYL,AWR,AWR
274,WTW,CBRE,KWR,KWR
275,ANSS,WBD,CDP,CDP
276,HPQ,TTWO,DOC,DOC
277,XYL,AVB,EVTC,EVTC
278,CBRE,ZBH,KLIC,KLIC
279,WBD,KEYS,SXT,SXT
280,TTWO,DAL,SITC,SITC
281,AVB,FTV,IDYA,IDYA
282,ZBH,LYB,SEM,SEM
283,KEYS,MTD,ABM,ABM
284,DAL,DFS,IPAR,IPAR
285,FTV,HIG,GHC,GHC
286,LYB,APTV,HASI,HASI
287,MTD,STT,KOS,KOS
288,DFS,ULTA,CWT,CWT
289,HIG,RMD,LIVN,LIVN
290,APTV,CHD,APAM,APAM
291,STT,WY,FBP,FBP
292,ULTA,BR,BOOT,BOOT
293,RMD,TROW,WSFS,WSFS
294,CHD,TSCO,LGIH,LGIH
295,WY,DTE,AVA,AVA
296,BR,EBAY,UNF,UNF
297,TROW,GLW,ROCK,ROCK
298,TSCO,MTB,URBN,URBN
299,DTE,HPE,FTDR,FTDR
300,EBAY,ETR,PLXS,PLXS
301,GLW,WAB,OI,OI
302,MTB,ES,KTOS,KTOS
303,HPE,MOH,PAGS,PAGS
304,ETR,FITB,CATY,CATY
305,WAB,HWM,LXP,LXP
306,ES,NVR,ESE,ESE
307,MOH,AEE,SGRY,SGRY
308,FITB,RJF,MYRG,MYRG
309,HWM,TRGP,WERN,WERN
310,NVR,STE,CLSK,CLSK
311,AEE,DOV,DOCN,DOCN
312,RJF,EQR,IIPR,IIPR
313,TRGP,PHM,BGC,BGC
314,STE,CTRA,RYTM,RYTM
315,DOV,IFF,CRDO,CRDO
316,EQR,INVH,CCS,CCS
317,PHM,VRSN,PJT,PJT
318,CTRA,PPL,CNMD,CNMD
319,IFF,LH,ARVN,ARVN
320,INVH,DRI,GNW,GNW
321,VRSN,FE,LRN,LRN
322,PPL,NTAP,STRL,STRL
323,LH,TDY,FL,FL
324,DRI,EXPE,QTWO,QTWO
325,FE,IRM,NTLA,NTLA
326,NTAP,CBOE,RXO,RXO
327,TDY,PTC,MWA,MWA
328,EXPE,GRMN,GH,GH
329,IRM,GPC,PI,PI
330,CBOE,NDAQ,PDCO,PDCO
331,PTC,VTR,NMIH,NMIH
332,GRMN,STLD,SONO,SONO
333,GPC,BAX,RELY,RELY
334,NDAQ,ARE,CEIX,CEIX
335,VTR,CNP,PRFT,PRFT
336,STLD,CLX,PATK,PATK
337,BAX,EXPD,AI,AI
338,ARE,BALL,PRGS,PRGS
339,CNP,AKAM,KRYS,KRYS
340,CLX,EG,FLYW,FLYW
341,EXPD,BRO,RAMP,RAMP
342,BALL,HOLX,ACLX,ACLX
343,AKAM,FDS,PRVA,PRVA
344,EG,ILMN,MTX,MTX
345,BRO,LVS,CRNX,CRNX
346,HOLX,TYL,JBLU,JBLU
347,FDS,FSLR,BEAM,BEAM
348,ILMN,WAT,PZZA,PZZA
